property_name,property_address,Estate_name
5bdrm House in Gigiri for rent,Whispers,"560
     
      sqm"
"3bdrm Shared Apartment in La Marina, Mtwapa for Rent",Mtwapa,La marina
3bdrm Apartment in Hurlingham for rent,Ndemi Road,"110
     
      sqm"
"1bdrm Bedsitter in Sadi Road, South B for Rent",sadi road,sadi road
3bdrm Bungalow in Kitengela for rent,Kitengela,"145
     
      sqm"
"2bdrm Apartment in Kileleswa, Kileleshwa for rent",Kileleshwa,Kileleswa
Furnished 1bdrm Apartment in Runda for rent,Runda,Runda
"1bdrm Apartment in Kasarani, Naivas for rent",Naivas,"Kasarani, naivas"
7bedroomed Mansion Off Thigiri Rd,off Thigiri Road,"3000
     
      sqm"
"1bdrm Apartment in Next Gen, South C for rent",South c,Next gen
Furnished 1bdrm Apartment in Nyali Cinemax for rent,Umoja road,Nyali Cinemax
"Furnished 3bdrm Shared Apartment in Garden Estate, Thome for rent",100,Garden Estate
"3bdrm Bungalow in Havilla Azalea, Kangundo for rent",Joska Mutalia,Havilla Azalea Gardens
2bdrm Apartment in Kikuyu for rent,Thogoto,"120
     
      sqm"
"4bdrm Maisonette in Muigai Estate, Kitengela for rent",Muigai,Muigai Estate
3bdrm Maisonette in Donholm for rent,Donholm,Donholm
Furnished 1bdrm Apartment in Riverside Drive for rent,Riverside Drive,"70
     
      sqm"
Furnished 2bdrm Apartment in Malindi Causorina for rent,causorina,Malindi causorina
"Furnished 2bdrm Apartment in Maweni Beach Road, Shauri Yako for rent",MAWENI NYALI BEACH ROAD,MAWENI BEACH ROAD
"3bdrm Apartment in Apple Tree, Hotel 67 Area for rent",Mombasa road,Apple Tree Apartments
"Furnished 3bdrm Apartment in Links Road, Nyali for Rent",links road,links road
1bdrm House in Nyari Estate for Rent,NYARI ESTATE.,NYARI ESTATE
2bdrm Apartment in Langata for rent,Upper langata,"70
     
      sqm"
"Furnished Studio Apartment in Airbnb/Guest House,, Utawala for rent",benedicta opposite Fahari gardens,"Airbnb/Guest house, Top class 3"
"4bdrm Maisonette in Muigai Estate, Kitengela for rent",Kitengela,Muigai estate
3bedroomed Spacious Maisonette+Dsq to Let Kileleshwa,Off kuguru Road,"152
     
      sqm"
2bdrm Apartment in Langata for Rent,langata,Fairly Used
2bdrm Apartment in Maasai Lodge for rent,Mayor Road,"11
     
      sqm"
1 Bedroom Apartment In Westlands,Brookside Drive,"110
     
      sqm"
"2bdrm Apartment in Southern Bypass, Thogoto for Rent",kikuyu,southern bypass
3bdrm Apartment in South C for rent,Oleshapara road.,South c
Rayohproperty New 2bedroom Poly Tudor,rayomosh14@gmail.com,Newly-Built
"Two Bedrooms Newly Built South B at 36,000/=",Newly-Built,Standard
"Furnished 2bdrm Apartment in Enzi Heights, South C for Rent",Nextgen,Enzi Heights
2bdrm Apartment in Kirigiti -Kiambu for rent,Kirigiti Maggies Apartment,Kirigiti -Kiambu
2bdrm Apartment in Woodley Estate for rent,Adams arcade,"90
     
      sqm"
1bdrm Bedsitter in Kabiria for rent,Newly built and spacious bedsitter apartments in Kabiria,"17
     
      sqm"
"1bdrm Apartment in Ngongroad Rescosco, Kilimani for rent",Ngongroad rescosco,Ngongroad rescosco
"3bdrm Apartment in Tasman Court, Syokimau for rent",Syokimau kiungani road,Tasman court
Furnished 1bdrm House in New Kitisuru for rent,New kitisuru,New kitisuru
Rayohproperties New Bedsitter to Let Utange,No,1
Spacious One Bedroom Flat Available in Kileleshwa,5,Unfurnished
"4bdrm Maisonette in Galaxy, Kitengela for rent",Police sacco,Galaxy
1bdrm Block of Flats in South C for rent,Behind nextgen mall,South c
3bdrm Apartment in Nyali for rent,Baobab road,Nyali
4bdrm Bungalow in Kitengela for rent,Kitengela,Kitengela
Bedsitter To Let Mwiki 5500,Unfurnished,Pets Allowed
3bdrm Apartment in Ngara for Rent,Ngara,Unfurnished
2bdrm Apartment in Ruaka for rent,Karuri,"180
     
      sqm"
Furnished 4bdrm Apartment in Nairobi for rent,nairobi central,nairobi
"4bdrm Duplex in Gitanga Road, Valley Arcade for rent",Gitanga road,Gitanga road
"3bdrm Apartment in King'Ara Road, Lavington for rent",Lavington Nairobi,KING'ARA ROAD
5bdrm House in Ridgeways for Rent,Garden Estate,Unfurnished
Furnished 3bdrm Apartment in Milimani for rent,upperhill,"180
     
      sqm"
2bdrm Apartment in Jamhuri Estate for rent,Jamuhuri shopping center,"70
     
      sqm"
"2bdrm Apartment in Deliverance, Langata for Rent",deliverance church,deliverance
"Furnished 1bdrm Bedsitter in Emerald, Ruaka for rent",Emerald apartments ruaka,Emerald
"6bdrm Townhouse / Terrace in Royal Finese, Kitengela for rent",Namanga road,Royal finese
Studio Apartment in Nairobi West for rent,Nairobi west,Nairobi west
"Two Bedrooms Newly Done South C at 40,000/=",Muhoho Avenue,Akiba Estate
"1bdrm Apartment in Spinners, Ruiru for Rent",macaku quickmatt,spinners
2bdrm Apartment in Kileleshwa for rent,OTHAYA ROAD,"105
     
      sqm"
Furnished 1bdrm House in New Kitisuru for rent,New kitisuru,New kitisuru
"1bdrm Apartment in Shopping Center, South B for rent",Nairobi West,Shopping center
1bdrm Apartment in Nairobi West for Rent,Kisauni Road,Renovated
"Studio Apartment in Regen, Kinoo for rent","Regen, Kinoo, Waiyaki Way",Regen
"4bdrm Mansion in Kugeria Close Court, Thindigua/Kasarini for Rent",Off Kugeria Road,Kugeria Close Court
"Furnished 1bdrm Apartment in Joyland, Ruaka for rent",Ruaka Joyland,Joyland
Furnished 1bdrm Apartment in Westlands for Rent,Stima Lane,Westlands
3bdrm Apartment in Nyali for Rent,greenwood drive,"2500
     
      sqm"
3bdrm Apartment in Langata for Rent,Dam estate,Fairly Used
"3bdrm Apartment in Nhc, Madaraka for rent",Olesangare,NHC
"3bdrm Block of Flats in Ganjoni, Moi Avenue (Msa) for rent",Opposite CMC Motors Off Moi Avenue Mombasa,Ganjoni
3bdrm Apartment in Kizingo - Mombasa for rent,Kizingo - Mombasa,Kizingo - Mombasa
"4bdrm Apartment in Lavington Green, Kileleshwa for rent",Lavington green,Lavington green
"2bdrm Apartment in Hill Peak Estate, Chokaa for rent",Hill Peak Hse,Hill Peak Estate
"2bdrm Apartment in Lower Kabete, Wangige for rent",Lower Kabete,Lower Kabete
"1bdrm Bedsitter in Kibali Suites, NkaiMurunya for rent",kingdom Hall Road,Kibali Suites
"3bdrm Apartment in Jacaranda Gardens, Kahawa West for rent",Kamiti road,Jacaranda Gardens
Furnished 2bdrm Apartment in Kilimani for rent,Riara rd,"1500
     
      sqm"
1bdrm Apartment in Ruaka for rent,Ruaka,"110
     
      sqm"
"2bdrm Apartment in Ndumberi Ensuite, Kiambu CBD for rent",Ndumberi town,Ndumberi Ensuite
"Furnished 2bdrm Apartment in Apartments Mbagathi, Dam Estate for rent","Mbagathi Road,near Riara,Strathmore,Daystar Uni",Apartments Mbagathi Rd
"4bdrm Townhouse / Terrace in Valley Arcade, Lavington for rent",Lavington Nairobi,Valley Arcade
3bdrm Apartment in Nyali for Rent,Links road,"2550
     
      sqm"
4bdrm Townhouse / Terrace in Westlands for Rent,NEAR WESTGATE MALL,"400
     
      sqm"
Mini Flat in Kimathi/Posta Estate for rent,Jogoo road,Kimathi/POSTA ESTATE
2bdrm Bungalow in Ridgeways for rent,Ridgeways,Ridgeways
"Furnished 3bdrm Apartment in Reef, Nyali Mkomani for rent",Links road,Reef
"2bdrm Apartment in Ngegu, Kiambu / Kiambu  for rent",Kiambu Town,Ngegu
"Furnished 1bdrm Bungalow in Lavington, Maziwa for rent",Mbaazi Avenue,Lavington
"2bdrm Apartment in Tena, Umoja for rent",Tena Estate,Tena
"2bdrm Apartment in Skyman Properties, Muthiga for Rent",Muthiga,Skyman Properties
"2bdrm Apartment in Rivers Island Estate, Zimmerman for Rent",Zimmerman Street,Rivers island Estate off kamiti Road
Furnished 2bdrm Apartment in Kilimani for rent,kilimani,"700
     
      sqm"
"Two Bedrooms Langata Deliverance at 45,000",Newly-Built,Standard
"1bdrm Block of Flats in Toll Next To Malbary, Murera for rent",off thika road at toll estate,Toll next to malbary estate
5bdrm House in Riverside Estate for Rent,Riverside,Unfurnished
1bdrm Apartment in Karen for rent,Karen,"300
     
      sqm"
Furnished 3bdrm Apartment in Westlands for rent,Rhapta Road,"238
     
      sqm"
"Furnished 3bdrm Condo in Taj View, Riverside Drive for rent",Near Ring Road Kileleshwa,Taj View
1bdrm Apartment in Makupa Primary for rent,Makupa Primary,Makupa Primary
"3bdrm Apartment in Langata Estate, Deliverance for rent",Along langata rd,Langata estate
3bdrm Apartment in South C for Rent,Oleshapara,Newly-Built
1bdrm Apartment in Zimmerman Estate for Rent,Zimmerman Street,Zimmerman Estate
1bdrm Apartment in Nairobi West for Rent,Nairobi west,Nairobi west
"2bdrm Apartment in Kihara Estate, Gachie for rent",B&G Apartments at Kihara on the Gachie/Kihara/Karura Road,Kihara Estate
Furnished 2bdrm Apartment in Kileleshwa for Rent,kileleshwa,kileleshwa
4bdrm Townhouse / Terrace in Westlands for rent,Matundu Road,"280
     
      sqm"
3bdrm Apartment in Kileleshwa for rent,Kileleshwa,"210
     
      sqm"
Furnished 2bdrm Apartment in Kilimani for rent,Kilimani,Kilimani
4bdrm Apartment in Tudor for rent,Tudor,Tudor
2bdrm Apartment in Mountain View for rent,Waiyaki Way,Mountain View
3bdrm Duplex in South B for rent,south B,south B
"Furnished 3 Bedroom, All Ensuite Apt- Yaya Centre",ARWINGS KODHEK ROAD,"185
     
      sqm"
Studio Apartment in Nairobi West for rent,Nairobi west,Nairobi west
2bdrm Apartment in South B for Rent,Capital centre,Renovated
2bdrm Apartment in South C for rent,Dafam area.,South c
"2bdrm Apartment in Hatheru Road, Lavington for rent",Lavington Nairobi,Hatheru Road
2bdrm Apartment in Langata for Rent,Dam estate,Fairly Used
Furnished Studio Apartment in Nairobi Central for Rent,westlands,"56
     
      sqm"
"4bdrm Maisonette in Naivasha Road Villas, Uthiru for rent",Naivasha Road,Naivasha Road Villas
6bdrm Maisonette in Karen for rent,"Karen, bogani",Fairly Used
"2bdrm Apartment in Tripple N Apartments, Gitaru for rent","Kikuyu,  Gitaru",Tripple N Apartments
"Furnished 1bdrm Apartment in Gtc, Riverside Drive for rent",Riverside drive,GTC
"1bdrm Apartment in Tatu City,Btl, Ruiru for Rent",Tatu City,"Tatu city,BTL Grounds"
"4bdrm Townhouse / Terrace in Hardly, Hardy for rent",Karen hardly,Hardly
"2bdrm Apartment in Kiawanugu, Wangige for rent",Opp wangige hospital,Kiawanugu
4bdrm Townhouse / Terrace in Muthaiga for rent,Old Muthaiga,"250
     
      sqm"
"5bdrm Maisonette in Gatongora, Ruiru for rent",Ruiru-Gatongora off Eastern bypass -Greenspot,Gatongora
2bdrm Apartment in Ongata Rongai for Rent,nairobi women's hospital,"1500
     
      sqm"
"2bdrm Apartment in Naivasha Road, Lavington for rent",Lavington Naivasha Road,Naivasha Road
3bdrm Townhouse / Terrace in Kiambu -Gicoco for rent,Gicoco,Kiambu -Gicoco
Furnished 2bdrm Apartment in Westlands for rent,Westlands,"2000
     
      sqm"
"Furnished 3bedroomed Apartments To Let, Riverside",River side off Riverside drive,"155
     
      sqm"
"1bdrm Apartment in Rayohproperty, Bamburi for Rent",Ray,RAYOHPROPERTY
1bdrm Apartment in Nyali for rent,off moyne drive,"1000
     
      sqm"
4bdrm Townhouse / Terrace in Kitisuru for rent,Kitisuru,Kitisuru
Furnished 2bdrm Apartment in Kilimani Estate for rent,"Batians Lane, Arwings Kodhek road.",Kilimani Estate
3bdrm Apartment in Kilimani for rent,Kilimani,Kilimani
"Bedsiter South C at 16,800",Nextgen Mall,Newly-Built
3bdrm Bungalow in Karen for rent,Karen,Karen
2bdrm Block of Flats in Ongata Rongai for Rent,apartment,"600
     
      sqm"
2bdrm Apartment in Westlands for Rent,Rhapta Road,westlands
"4bdrm Townhouse / Terrace in Maziwa, Lavington for rent",Lavington Green,Maziwa
3bdrm Apartment in Ruaraka for Rent,USIU,"150
     
      sqm"
2bdrm House in Karen for rent,bogani,Unfurnished
4bdrm Villa in Kiambu Road for rent,Kiambu Road,Kiambu Road
"1bdrm Apartment in Afro Estate, Utange for rent",utange,Afro estate
4bdrm Apartment in Kilimani for rent,Argwings kodhek road,"200
     
      sqm"
4bdrm Maisonette in Kitengela for rent,Yukos,"230
     
      sqm"
Rayohproperty to Let Mtwapa With Wifi Inclusive,rayomosh14@gmail.com,Fairly Used
Rayohproperty 3bedroom Let Shanzu With A/C,volume area,RAYOHPROPERTY
"Furnished 3bdrm Villa in Kilimandogo, Town Centre for rent",Ocean beach road,Kilimandogo
3bdrm Apartment in Mbagathi Way for rent,Mbagathi way,Mbagathi way
"4bdrm Apartment in Hatheru Road, Lavington for rent",Lavington Nairobi,Hatheru Road
2bdrm Apartment in Parklands/Highridge for rent,City Park Estate,"68
     
      sqm"
"2bdrm Apartment in King'S Serenity, NkaiMurunya for Rent",Ongata Rongai,King's Serenity
1bdrm Bedsitter in Hurlingham for rent,Ngong road,"238
     
      sqm"
"Furnished 2bdrm Apartment in Jacaranda Gardens, Kahawa for rent",Kamiti Road,Jacaranda Gardens
Furnished Studio Apartment in Kileleshwa for rent,Kileleshwa,Kileleshwa
"2bdrm House in Valleyside, Rimpa for rent","Nalepo, Nyuat",Valleyside apartments
2bdrm Apartment in Langata for Rent,Dam estate,"110
     
      sqm"
1bdrm Bedsitter in South B for rent,south B,south B
3bdrm Apartment in Parklands for rent,parklands,parklands
"Two Bedrooms South B at 36,000/=",Newly-Built,Standard
1bdrm Apartment in Ruiru- Thika Road for Rent,Ruiru,Ruiru- Thika road Kihunguro
"6bdrm Townhouse / Terrace in Amboseli Road, Lavington for rent",Lavington Nairobi,AMBOSELI ROAD
1bedroom to Let NYALI Mkomani RAYOHPROPERTIES,No,Unfurnished
Ngong Road One Bedroom Flat for Rent,Ngong Road,Unfurnished
3bdrm Apartment in Shanzu for Rent,shanzu,shanzu
Westlands 1 Bedroom Near Sarit Centre,Unfurnished,Not available
2bedroomed Apartments to Let Statehouse Road,Statehse off Statehouse Crescent,"130
     
      sqm"
Furnished 12bdrm Villa in Malindi Sulisuli for rent,Malindi Sulisuli road,Malindi SuliSuli Road
1bdrm Apartment in Muguga for rent,"Muguga, Kiambaa","45
     
      sqm"
"3bdrm Bungalow in Kakamega Lumakada, Lumakanda for rent",3 bedroomed ownkakamega lumakada near lumakada heardquarters,kakamega lumakada near lumakada heardquarters
3bdrm Apartment in Kilimani for rent,Riara Road,"118
     
      sqm"
Furnished 2bdrm Apartment in Kilimani for rent,Kilimani,"230
     
      sqm"
2bdrm Apartment in Kilimani for rent,76630,"200
     
      sqm"
3bdrm House in Hardy for rent,Karen,"100
     
      sqm"
1bdrm Bedsitter in Zimmerman for rent,56 Zimmerman,Zimmerman
"3bdrm Apartment in Deliverance Rd., Kitengela for rent",Kitengela,Deliverance Rd.
3bdrm Apartment in Kilimani for rent,Kilimani,Kilimani
1bdrm Apartment in Kileleshwa for rent,Kileleshwa,"68
     
      sqm"
Spacious 2 Bedroom To Let In Buruburu,637,Newly-Built
2bdrm Apartment in Shanzu Beach for rent,Shanzu serena road,Shanzu beach
,Not available,Not available
5bdrm House in Ridgeways for rent,"Ridgeway, Kiambu","400
     
      sqm"
2bdrm Apartment in Ruaka for Rent,Joyland,"100
     
      sqm"
3bdrm Maisonette in Langata for rent,Uhuru Gardens,"1235
     
      sqm"
5bdrm Maisonette in Bamburi Utange for rent,5br massmassionate,Bamburi utange
"3bdrm Bungalow in Milimani, Kitengela for Rent",Kitengela Milimani,Milimani
"1bdrm Apartment in Skyman Properties, Regen for rent",Rungiri,Skyman Properties
"2bdrm Apartment in Riara Road, Lavington for Rent",Lavington Nairobi,RIARA ROAD
3bdrm Apartment in Karen for rent,Galleria,"120
     
      sqm"
Furnished 1bdrm Apartment in Westlands for rent,Westlands,Fairly Used
3bdrm Block of Flats in Parklands for rent,Parklands,Parklands
"One Bedroom Newly Built Langata at 25,000/=",Newly-Built,Unfurnished
3bdrm Apartment in Kilimani for rent,Kilimani Nairobi,Kilimani
"4bdrm Duplex in General Mathenge, Westlands for rent",General Mathenge,General Mathenge
4bdrm House in Karen for rent,Miotoni,"400
     
      sqm"
4bdrm House in Spring Valley for rent,Spring Vally,"100
     
      sqm"
"2bdrm Apartment in Lower Kabete, Wangige for rent",LOWER KABETE,LOWER KABETE
1bdrm Apartment in Riverside Drive for Rent,riverside drive,"85
     
      sqm"
2bdrm Apartment in Nairobi West for rent,Nairobi west,Nairobi west
Nairobi West One Bedroom Flat In A Secure Compound,No,Unfurnished
"3bdrm Apartment in Opp. Ngenia High, Limuru CBD for Rent",Ngenia,OPP.  Ngenia high SCH
Furnished 3bdrm Villa in Malindi Causorina for rent,Malindi,Malindi Causorina Road
Mini Flat in Runda for rent,Runda Grove,Runda
"3bdrm Apartment in La-Marina, Mtwapa for Rent",La-marina,La-marina
3bdrm Apartment in Lavington West for rent,James Gichuru Road,Lavington West
2bdrm Apartment in South B for rent,South b,South b
2bdrm Apartment in South B for rent,Shopping center,South b
4bdrm Villa in Runda for rent,Runda -kiambu rd,"250
     
      sqm"
2bdrm Apartment in Gitaru for rent,"Muthure, Gitaru","55
     
      sqm"
3bdrm Penthouse in Kilimani for Rent,YAYA CENTER,"136
     
      sqm"
4bdrm Mansion in Karen for rent,4 bedrooms with 2 dsq for rent in karen,"600
     
      sqm"
"Studio Apartment in Kirigiti Off Migaa, Kiambu / Kiambu  for rent",Kirigiti,Kirigiti off Migaa Road near Todas
Mini Flat in Buruburu Estate for rent,Buruburu,Buruburu estate
3bdrm House in Kahawa Sukari for rent,Kahawa sukari,Kahawa sukari
4bdrm Maisonette in Muguga On 1/4 Acre for rent,Waiyaki way,Muguga on 1/4 Acre
Furnished 2bdrm Apartment in Kilimani for rent,Kilimani,"950
     
      sqm"
"2bdrm Apartment in Green Height, Shanzu for rent",Serena shanzu,Green height
Furnished 2bdrm Apartment in South C for Rent,Nextgen,"96
     
      sqm"
"2bdrm Apartment in Shopping Center, South C for rent",South C,Shopping center
"3bdrm Apartment in Hatheru Road, Lavington for rent",Lavington Nairobi,Hatheru Road
2bdrm Apartment in Langata for Rent,Dam estate,Renovated
Furnished 1bdrm Apartment in Kilimani for rent,Kilimani,"1000
     
      sqm"
3bdrm Apartment in Mtwapa La-Marina for Rent,La-marina,Mtwapa La-marina creekside Beach
"2bdrm Apartment in Hatheru Road, Lavington for rent",Lavington Nairobi,Hatheru Road
1bdrm Bungalow in Karen for rent,Karen,"300
     
      sqm"
"4bdrm Townhouse / Terrace in Mugumo Estate, Kiambu / Kiambu  for rent",Mugumo Off Kamiti Road,Mugumo Estate
1bdrm Apartment in Langata for Rent,Dam,"50
     
      sqm"
Exactive 3bedroomed Apartment With DSQ to Let,Riverside off Sandalwood Lane,Shalom Heights
"2bdrm Apartment in Naivasha Road, Dagoretti for rent",Naivasha road,Naivasha road
Furnished 2bdrm Apartment in Westlands for rent,Westlands,Westlands
"3bdrm Apartment in Kilimani, Hurlingham for rent",Kilimani,Kilimani
"3bdrm Apartment in Yaya Center, Kilimani for rent",Kilimani Nairobi,Yaya Center
"1bdrm Bungalow in Ikonzo, Marachi Central for rent",Ikonzo Market,Ikonzo
"2bdrm Apartment in Stadium, Mombasa CBD for rent",Stadium Ground,Stadium
5bdrm Maisonette in Karen for rent,Karen,"400
     
      sqm"
1bdrm Apartment in South B for Rent,South B,"5000
     
      sqm"
"3bdrm Apartment in Kileleshwa, Kilimani for rent",Kileleshwa,Kileleshwa
1bdrm Apartment in Thindigua for rent,Kiambu road,Thindigua
"1bdrm Apartment in Nyeri Road, Kileleshwa for rent",Nyeri Road,Nyeri Road
"Three Bedrooms Nairobi West at 50,000/=",Renovated,Unfurnished
